model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Random Forest,returns,0.5,average_precision,30,0.4641844234644762,0.4675704546185947,0.004254051102127578,0.46604816198231025,0.46909274725487915,-0.003386031154118526,0.004254051102127579,-0.004908323790402985,-0.001863738517834067
Logistic Regression,returns,1.0,accuracy,30,0.8072289156626506,0.8076556224899599,0.003429040400260149,0.8064285561417849,0.808882688838135,-0.00042670682730920156,0.0034290404002601496,-0.0016537731754842997,0.0008003595208658965
Logistic Regression,returns,1.0,balanced_accuracy,30,0.7105380405236933,0.7113372192042686,0.004598732997499032,0.7096915837358019,0.7129828546727354,-0.0007991786805751707,0.004598732997499032,-0.002444814149041902,0.0008464567878915606
Logistic Regression,returns,1.0,precision,30,0.43859649122807015,0.4396635566916808,0.0073961193967236345,0.4370168893563772,0.44231022402698433,-0.001067065463610715,0.0073961193967236345,-0.0037137327989142446,0.0015796018716928149
Logistic Regression,returns,1.0,recall,30,0.5656108597285068,0.5669683257918552,0.008245592555321087,0.5640176783907251,0.5699189731929852,-0.0013574660633484262,0.008245592555321087,-0.004308113464478495,0.0015931813377816429
Logistic Regression,returns,1.0,f1_score,30,0.49407114624505927,0.49523798562628724,0.006884633493499253,0.4927743511707844,0.4977016200817901,-0.0011668393812279707,0.006884633493499252,-0.0036304738367307935,0.001296795074274852
Logistic Regression,returns,1.0,roc_auc,30,0.7868561641875846,0.7856439414067343,0.002042869647314979,0.784912909891988,0.7863749729214806,0.001212222780850288,0.002042869647314979,0.0004811912661039573,0.001943254295596619
Logistic Regression,returns,1.0,average_precision,30,0.5115454699383656,0.5111091368929027,0.002921016481549966,0.5100638645692804,0.512154409216525,0.00043633304546284075,0.002921016481549966,-0.0006089392781594949,0.0014816053690851765
Random Forest,returns,1.0,accuracy,30,0.8463855421686747,0.844327309236948,0.0030051159667964043,0.8432519422990316,0.8454026761748644,0.002058232931726885,0.0030051159667964043,0.0009828659938104385,0.0031335998696433312
Random Forest,returns,1.0,balanced_accuracy,30,0.6851340911599162,0.6922290756341448,0.004371423430434501,0.6906647818495911,0.6937933694186985,-0.00709498447422879,0.004371423430434501,-0.008659278258782443,-0.005530690689675137
Random Forest,returns,1.0,precision,30,0.547486033519553,0.5375788420448394,0.011190705455711948,0.5335742995273463,0.5415833845623326,0.009907191474713547,0.01119070545571195,0.005902648957220365,0.013911733992206729
Random Forest,returns,1.0,recall,30,0.4434389140271493,0.4642533936651584,0.009550805133821227,0.4608356819412601,0.46767110538905665,-0.02081447963800908,0.00955080513382123,-0.02423219136190737,-0.01739676791411079
Random Forest,returns,1.0,f1_score,30,0.49,0.49813339263959705,0.0073886999682298655,0.4954893803126821,0.500777404966512,-0.00813339263959704,0.007388699968229865,-0.01077740496651201,-0.005489380312682069
Random Forest,returns,1.0,roc_auc,30,0.7699256479744285,0.7705560801208817,0.005263259868671761,0.768672646765574,0.7724395134761894,-0.0006304321464531193,0.005263259868671761,-0.002513865501760811,0.0012530012088545726
Random Forest,returns,1.0,average_precision,30,0.4641844234644762,0.46973922102269056,0.005956880726078008,0.46760757863127733,0.4718708634141038,-0.005554797558214395,0.005956880726078008,-0.007686439949627638,-0.0034231551668011525
Logistic Regression,volatility,0.05,accuracy,30,0.8072289156626506,0.8074297188755022,0.001734503572705507,0.8068090347433774,0.808050403007627,-0.0002008032128513822,0.001734503572705507,-0.0008214873449761995,0.0004198809192734351
Logistic Regression,volatility,0.05,balanced_accuracy,30,0.7105380405236933,0.7099945363455646,0.002515745307637081,0.7090942884489967,0.7108947842421326,0.000543504178128736,0.002515745307637081,-0.0003567437184392579,0.00144375207469673
Logistic Regression,volatility,0.05,precision,30,0.43859649122807015,0.43886603955907033,0.0037641415477877027,0.43751905880529807,0.4402130203128426,-0.0002695483310002615,0.0037641415477877027,-0.0016165290847725416,0.0010774324227720185
Logistic Regression,volatility,0.05,recall,30,0.5656108597285068,0.5639517345399698,0.004824432626198261,0.5622253334966352,0.5656781355833045,0.0016591251885369473,0.004824432626198261,-6.727585479773465e-05,0.0033855262318716293
Logistic Regression,volatility,0.05,f1_score,30,0.49407114624505927,0.4935986708115132,0.003642868707782947,0.49229508698619534,0.4949022546368311,0.0004724754335460231,0.003642868707782947,-0.0008311083917718215,0.0017760592588638676
Logistic Regression,volatility,0.05,roc_auc,30,0.7868561641875846,0.7865681301358012,0.0007506400766274816,0.7862995170341441,0.7868367432374582,0.0002880340517835293,0.0007506400766274816,1.9420950126494273e-05,0.0005566471534405642
Logistic Regression,volatility,0.05,average_precision,30,0.5115454699383656,0.5116595899316896,0.0014995395896879539,0.5111229865810487,0.5121961932823305,-0.00011411999332407256,0.0014995395896879539,-0.0006507233439649064,0.0004224833573167613
Random Forest,volatility,0.05,accuracy,30,0.8463855421686747,0.8440010040160641,0.0031583406180717326,0.8428708063408731,0.8451312016912552,0.002384538152610416,0.003158340618071733,0.0012543404774193207,0.003514735827801511
Random Forest,volatility,0.05,balanced_accuracy,30,0.6851340911599162,0.685635289485122,0.004392219699458926,0.6840635538512727,0.6872070251189712,-0.0005011983252059019,0.004392219699458925,-0.0020729339590552153,0.0010705373086434117
Random Forest,volatility,0.05,precision,30,0.547486033519553,0.5376576949611969,0.011830659235570742,0.5334241479246573,0.5418912419977364,0.009828338558356206,0.011830659235570742,0.005594791521816645,0.014061885594895768
Random Forest,volatility,0.05,recall,30,0.4434389140271493,0.448265460030166,0.007123156370501418,0.4457164712593226,0.45081444880100935,-0.00482654600301661,0.007123156370501418,-0.007375534773859976,-0.002277557232173244
Random Forest,volatility,0.05,f1_score,30,0.49,0.4888779504216981,0.008359094269688385,0.48588668695370874,0.4918692138896875,0.001122049578301874,0.008359094269688385,-0.0018692138896875203,0.004113313046291268
Random Forest,volatility,0.05,roc_auc,30,0.7699256479744285,0.7703905354790098,0.002497079474722074,0.7694969670649667,0.7712841038930529,-0.0004648875045813683,0.002497079474722074,-0.0013584559186244766,0.00042868090946173994
Random Forest,volatility,0.05,average_precision,30,0.4641844234644762,0.4646372654429705,0.0035083384725413135,0.46338182264406474,0.4658927082418763,-0.000452841978494356,0.0035083384725413135,-0.0017082847774000987,0.0008026008204113868
Logistic Regression,volatility,0.1,accuracy,30,0.8072289156626506,0.807605421686747,0.0030039228793643058,0.806530481689685,0.808680361683809,-0.0003765060240963532,0.0030039228793643058,-0.0014514460211583705,0.0006984339729656642
Logistic Regression,volatility,0.1,balanced_accuracy,30,0.7105380405236933,0.7107035170401981,0.004858824753276019,0.7089648089322467,0.7124422251481495,-0.00016547651650477,0.004858824753276019,-0.0019041846244561525,0.0015732315914466124
Logistic Regression,volatility,0.1,precision,30,0.43859649122807015,0.43938802638683694,0.006592435252986215,0.4370289537288278,0.4417470990448461,-0.0007915351587668225,0.006592435252986215,-0.0031506078167760024,0.0015675374992423574
Logistic Regression,volatility,0.1,recall,30,0.5656108597285068,0.5654600301659125,0.00931756492519168,0.5621257823787555,0.5687942779530695,0.00015082956259425683,0.00931756492519168,-0.003183418224562737,0.00348507734975125
Logistic Regression,volatility,0.1,f1_score,30,0.49407114624505927,0.49449072220490253,0.006896178520357357,0.49202295641459676,0.4969584879952083,-0.00041957595984323435,0.006896178520357356,-0.002887341750149019,0.00204818983046255
Logistic Regression,volatility,0.1,roc_auc,30,0.7868561641875846,0.7858161623345745,0.001441734146336795,0.7853002443961767,0.7863320802729723,0.0010400018530100604,0.0014417341463367952,0.000524083914612304,0.0015559197914078167
Logistic Regression,volatility,0.1,average_precision,30,0.5115454699383656,0.511236174879625,0.0027164183704420164,0.5102641170497781,0.5122082327094719,0.00030929505874051447,0.0027164183704420164,-0.00066276277110633,0.0012813528885873588
Random Forest,volatility,0.1,accuracy,30,0.8463855421686747,0.8441265060240964,0.003384945916177495,0.8429152186844026,0.8453377933637903,0.0022590361445782897,0.003384945916177495,0.0010477488048843584,0.0034703234842722213
Random Forest,volatility,0.1,balanced_accuracy,30,0.6851340911599162,0.6844430274368103,0.00533532221513891,0.6825338069020008,0.6863522479716198,0.0006910637231058743,0.005335322215138909,-0.0012181568117036,0.0026002842579153484
Random Forest,volatility,0.1,precision,30,0.547486033519553,0.5384787498506223,0.013018115679375667,0.5338202769829359,0.5431372227183087,0.00900728366893067,0.013018115679375667,0.0043488108012442505,0.013665756536617089
Random Forest,volatility,0.1,recall,30,0.4434389140271493,0.44509803921568636,0.010046762204574136,0.4415028515333204,0.4486932268980523,-0.0016591251885369807,0.010046762204574136,-0.005254312870902897,0.0019360624938289362
Random Forest,volatility,0.1,f1_score,30,0.49,0.4872858642926333,0.009633929243586045,0.4838384069880744,0.49073332159719224,0.0027141357073666955,0.009633929243586045,-0.0007333215971922005,0.0061615930119255915
Random Forest,volatility,0.1,roc_auc,30,0.7699256479744285,0.7703522490227416,0.0035874094314134897,0.7690685110445948,0.7716359870008883,-0.00042660104831309477,0.0035874094314134897,-0.0017103390264598356,0.0008571369298336459
Random Forest,volatility,0.1,average_precision,30,0.4641844234644762,0.4637727043458062,0.005096426910805702,0.4619489713977461,0.4655964372938663,0.000411719118669999,0.005096426910805702,-0.0014120138293901069,0.0022354520667301047
Logistic Regression,volatility,0.2,accuracy,30,0.8072289156626506,0.8036395582329318,0.004075215060215868,0.8021812612523573,0.8050978552135062,0.0035893574297189202,0.004075215060215868,0.0021310604491444505,0.00504765441029339
Logistic Regression,volatility,0.2,balanced_accuracy,30,0.7105380405236933,0.7097129742036484,0.00562705364024697,0.7076993589190926,0.7117265894882042,0.0008250663200447687,0.00562705364024697,-0.0011885489645110502,0.0028386816046005875
Logistic Regression,volatility,0.2,precision,30,0.43859649122807015,0.4318263302634612,0.008340009219968504,0.42884189629280367,0.4348107642341187,0.006770160964608953,0.008340009219968504,0.003785726993951448,0.009754594935266458
Logistic Regression,volatility,0.2,recall,30,0.5656108597285068,0.5689291101055808,0.011393580595017412,0.5648519696518532,0.5730062505593083,-0.003318250377073917,0.01139358059501741,-0.00739539083080144,0.0007588900766536066
Logistic Regression,volatility,0.2,f1_score,30,0.49407114624505927,0.4909276931317015,0.007958615579617162,0.4880797391224488,0.4937756471409542,0.003143453113357745,0.00795861557961716,0.00029549910410507597,0.005991407122610414
Logistic Regression,volatility,0.2,roc_auc,30,0.7868561641875846,0.7829806483082428,0.0027353209672733372,0.7820018262709917,0.7839594703454938,0.0038755158793418844,0.0027353209672733372,0.0028966938420908125,0.004854337916592956
Logistic Regression,volatility,0.2,average_precision,30,0.5115454699383656,0.5070963502800064,0.005230485605529997,0.5052246450441412,0.5089680555158717,0.004449119658359148,0.005230485605529997,0.0025774144224939813,0.006320824894224315
Random Forest,volatility,0.2,accuracy,30,0.8463855421686747,0.8416164658634538,0.003550344807433349,0.8403459912906581,0.8428869404362496,0.004769076305220861,0.003550344807433349,0.0034986017324251757,0.006039550878016547
Random Forest,volatility,0.2,balanced_accuracy,30,0.6851340911599162,0.680885248269275,0.005895655481601743,0.6787755150502208,0.6829949814883292,0.004248842890641143,0.005895655481601744,0.002139109671587001,0.006358576109695285
Random Forest,volatility,0.2,precision,30,0.547486033519553,0.5291563641279603,0.013116920644388158,0.5244625343576284,0.5338501938982922,0.018329669391592744,0.013116920644388158,0.013635839621260836,0.02302349916192465
Random Forest,volatility,0.2,recall,30,0.4434389140271493,0.43996983408748114,0.01093509845161841,0.4360567593616935,0.44388290881326875,0.0034690799396681553,0.01093509845161841,-0.00044399478611944045,0.007382154665455751
Random Forest,volatility,0.2,f1_score,30,0.49,0.48039576691561875,0.010567520397608055,0.47661422830715705,0.48417730552408045,0.009604233084381207,0.010567520397608055,0.005822694475919489,0.013385771692842925
