ticker,sector,metric,feature_group,noise_intensity,seed,logistic_regression_degradation,random_forest_degradation,paired_difference
XLB,Materials,accuracy,all_predictors,1.0,21,0.1754518072289156,0.0865963855421686,0.088855421686747
XLB,Materials,accuracy,all_predictors,1.0,22,0.1927710843373493,0.0737951807228916,0.1189759036144577
XLB,Materials,accuracy,all_predictors,1.0,23,0.1792168674698795,0.0850903614457831,0.0941265060240964
XLB,Materials,accuracy,all_predictors,1.0,24,0.1822289156626506,0.0843373493975904,0.0978915662650602
XLB,Materials,accuracy,all_predictors,1.0,25,0.1807228915662651,0.0753012048192771,0.10542168674698799
XLB,Materials,accuracy,all_predictors,1.0,26,0.1897590361445783,0.0707831325301204,0.11897590361445791
XLB,Materials,accuracy,all_predictors,1.0,27,0.1852409638554216,0.0918674698795181,0.0933734939759035
XLB,Materials,accuracy,all_predictors,1.0,28,0.1626506024096385,0.0790662650602409,0.08358433734939759
XLB,Materials,accuracy,all_predictors,1.0,29,0.1852409638554216,0.1046686746987951,0.08057228915662651
XLB,Materials,accuracy,momentum,0.05,0,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,1,-0.0007530120481927,0.0,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,2,-0.0007530120481927,0.0,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,3,0.0,0.0015060240963855,-0.0015060240963855
XLB,Materials,accuracy,momentum,0.05,4,-0.0007530120481927,0.0,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,5,-0.0007530120481927,-0.0007530120481927,0.0
XLB,Materials,accuracy,momentum,0.05,6,0.0,0.0022590361445783,-0.0022590361445783
XLB,Materials,accuracy,momentum,0.05,7,0.0,0.0015060240963855,-0.0015060240963855
XLB,Materials,accuracy,momentum,0.05,8,0.0,0.0022590361445783,-0.0022590361445783
XLB,Materials,accuracy,momentum,0.05,9,-0.0015060240963855,-0.0007530120481927,-0.0007530120481928
XLB,Materials,accuracy,momentum,0.05,10,0.0007530120481927,-0.0007530120481927,0.0015060240963854
XLB,Materials,accuracy,momentum,0.05,11,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.05,12,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,13,0.0,0.0,0.0
XLB,Materials,accuracy,momentum,0.05,14,0.0,0.0022590361445783,-0.0022590361445783
XLB,Materials,accuracy,momentum,0.05,15,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.05,16,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,17,0.0015060240963855,0.0037650602409639,-0.0022590361445784003
XLB,Materials,accuracy,momentum,0.05,18,0.0,-0.0007530120481927,0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,19,0.0,0.0022590361445783,-0.0022590361445783
XLB,Materials,accuracy,momentum,0.05,20,0.0,0.0,0.0
XLB,Materials,accuracy,momentum,0.05,21,0.0007530120481927,0.0015060240963855,-0.0007530120481928
XLB,Materials,accuracy,momentum,0.05,22,0.0007530120481927,-0.0007530120481927,0.0015060240963854
XLB,Materials,accuracy,momentum,0.05,23,-0.0007530120481927,0.0015060240963855,-0.0022590361445782
XLB,Materials,accuracy,momentum,0.05,24,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.05,25,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,26,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.05,27,-0.0015060240963855,-0.0015060240963855,0.0
XLB,Materials,accuracy,momentum,0.05,28,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.05,29,-0.0007530120481927,-0.0007530120481927,0.0
XLB,Materials,accuracy,momentum,0.1,0,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.1,1,0.0015060240963855,0.0007530120481927,0.0007530120481928
XLB,Materials,accuracy,momentum,0.1,2,-0.0022590361445783,0.0007530120481927,-0.0030120481927710004
XLB,Materials,accuracy,momentum,0.1,3,-0.0007530120481927,0.0015060240963855,-0.0022590361445782
XLB,Materials,accuracy,momentum,0.1,4,-0.0015060240963855,0.0015060240963855,-0.003012048192771
XLB,Materials,accuracy,momentum,0.1,5,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.1,6,0.0015060240963855,0.0015060240963855,0.0
XLB,Materials,accuracy,momentum,0.1,7,0.0,-0.0015060240963855,0.0015060240963855
XLB,Materials,accuracy,momentum,0.1,8,0.0015060240963855,0.0,0.0015060240963855
XLB,Materials,accuracy,momentum,0.1,9,-0.0022590361445783,-0.0015060240963855,-0.0007530120481928002
XLB,Materials,accuracy,momentum,0.1,10,0.0015060240963855,0.0007530120481927,0.0007530120481928
XLB,Materials,accuracy,momentum,0.1,11,-0.0007530120481927,-0.0007530120481927,0.0
XLB,Materials,accuracy,momentum,0.1,12,-0.0007530120481927,0.0022590361445783,-0.0030120481927710004
XLB,Materials,accuracy,momentum,0.1,13,0.0,0.0,0.0
XLB,Materials,accuracy,momentum,0.1,14,-0.0007530120481927,0.0037650602409639,-0.0045180722891566
XLB,Materials,accuracy,momentum,0.1,15,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.1,16,0.0,0.0015060240963855,-0.0015060240963855
XLB,Materials,accuracy,momentum,0.1,17,0.0022590361445783,0.0022590361445783,0.0
XLB,Materials,accuracy,momentum,0.1,18,-0.0030120481927711,-0.0007530120481927,-0.0022590361445784003
XLB,Materials,accuracy,momentum,0.1,19,0.0007530120481927,0.0015060240963855,-0.0007530120481928
XLB,Materials,accuracy,momentum,0.1,20,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.1,21,0.0015060240963855,0.0,0.0015060240963855
XLB,Materials,accuracy,momentum,0.1,22,0.0022590361445783,0.0,0.0022590361445783
XLB,Materials,accuracy,momentum,0.1,23,-0.0015060240963855,0.0015060240963855,-0.003012048192771
XLB,Materials,accuracy,momentum,0.1,24,-0.0022590361445783,0.0007530120481927,-0.0030120481927710004
XLB,Materials,accuracy,momentum,0.1,25,0.0,0.0022590361445783,-0.0022590361445783
XLB,Materials,accuracy,momentum,0.1,26,0.0,0.0,0.0
XLB,Materials,accuracy,momentum,0.1,27,-0.0007530120481927,-0.0022590361445783,0.0015060240963856001
XLB,Materials,accuracy,momentum,0.1,28,0.0007530120481927,-0.0007530120481927,0.0015060240963854
XLB,Materials,accuracy,momentum,0.1,29,-0.0022590361445783,0.0,-0.0022590361445783
XLB,Materials,accuracy,momentum,0.2,0,-0.0007530120481927,-0.0022590361445783,0.0015060240963856001
XLB,Materials,accuracy,momentum,0.2,1,0.0022590361445783,-0.0007530120481927,0.0030120481927710004
XLB,Materials,accuracy,momentum,0.2,2,-0.0045180722891565,-0.0022590361445783,-0.0022590361445781995
XLB,Materials,accuracy,momentum,0.2,3,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,4,0.0007530120481927,-0.0007530120481927,0.0015060240963854
XLB,Materials,accuracy,momentum,0.2,5,0.0007530120481927,0.0,0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,6,0.0030120481927711,-0.0037650602409637,0.0067771084337348
XLB,Materials,accuracy,momentum,0.2,7,-0.0007530120481927,-0.0007530120481927,0.0
XLB,Materials,accuracy,momentum,0.2,8,0.0007530120481927,-0.0015060240963855,0.0022590361445782
XLB,Materials,accuracy,momentum,0.2,9,0.0,-0.0037650602409637,0.0037650602409637
XLB,Materials,accuracy,momentum,0.2,10,0.0022590361445783,-0.0030120481927711,0.005271084337349401
XLB,Materials,accuracy,momentum,0.2,11,-0.0007530120481927,0.0015060240963855,-0.0022590361445782
XLB,Materials,accuracy,momentum,0.2,12,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.2,13,0.0,-0.0022590361445783,0.0022590361445783
XLB,Materials,accuracy,momentum,0.2,14,-0.0022590361445783,0.0022590361445783,-0.0045180722891566
XLB,Materials,accuracy,momentum,0.2,15,0.0015060240963855,0.0022590361445783,-0.0007530120481928002
XLB,Materials,accuracy,momentum,0.2,16,0.0,-0.0015060240963855,0.0015060240963855
XLB,Materials,accuracy,momentum,0.2,17,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,18,-0.0022590361445783,0.0015060240963855,-0.0037650602409638
XLB,Materials,accuracy,momentum,0.2,19,-0.0007530120481927,0.0,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,20,0.0,-0.0007530120481927,0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,21,-0.0007530120481927,-0.0015060240963855,0.0007530120481928
XLB,Materials,accuracy,momentum,0.2,22,0.0,-0.0007530120481927,0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,23,-0.0045180722891565,-0.0037650602409637,-0.0007530120481927995
XLB,Materials,accuracy,momentum,0.2,24,-0.0015060240963855,-0.0052710843373493,0.0037650602409638
XLB,Materials,accuracy,momentum,0.2,25,0.0,0.0007530120481927,-0.0007530120481927
XLB,Materials,accuracy,momentum,0.2,26,-0.0007530120481927,0.0007530120481927,-0.0015060240963854
XLB,Materials,accuracy,momentum,0.2,27,-0.0030120481927711,-0.0030120481927711,0.0
XLB,Materials,accuracy,momentum,0.2,28,-0.0007530120481927,-0.0015060240963855,0.0007530120481928
XLB,Materials,accuracy,momentum,0.2,29,-0.0030120481927711,-0.0030120481927711,0.0
XLB,Materials,accuracy,momentum,0.5,0,-0.0030120481927711,-0.0082831325301204,0.005271084337349299
XLB,Materials,accuracy,momentum,0.5,1,0.0037650602409639,-0.0007530120481927,0.0045180722891566
XLB,Materials,accuracy,momentum,0.5,2,-0.0015060240963855,-0.0037650602409637,0.0022590361445782
XLB,Materials,accuracy,momentum,0.5,3,0.0030120481927711,-0.009789156626506,0.012801204819277101
XLB,Materials,accuracy,momentum,0.5,4,-0.0015060240963855,-0.0067771084337349,0.0052710843373494
XLB,Materials,accuracy,momentum,0.5,5,-0.0022590361445783,-0.0007530120481927,-0.0015060240963856001
XLB,Materials,accuracy,momentum,0.5,6,0.0022590361445783,-0.0022590361445783,0.0045180722891566
XLB,Materials,accuracy,momentum,0.5,7,0.0030120481927711,-0.0052710843373493,0.008283132530120401
XLB,Materials,accuracy,momentum,0.5,8,0.0030120481927711,-0.0045180722891565,0.0075301204819276
XLB,Materials,accuracy,momentum,0.5,9,0.0022590361445783,-0.0082831325301204,0.010542168674698699
XLB,Materials,accuracy,momentum,0.5,10,0.0022590361445783,-0.0015060240963855,0.0037650602409638
XLB,Materials,accuracy,momentum,0.5,11,-0.0045180722891565,-0.0007530120481927,-0.0037650602409638
XLB,Materials,accuracy,momentum,0.5,12,0.0045180722891566,-0.0030120481927711,0.0075301204819277
XLB,Materials,accuracy,momentum,0.5,13,0.0007530120481927,-0.0060240963855421,0.006777108433734799
XLB,Materials,accuracy,momentum,0.5,14,0.0,-0.0030120481927711,0.0030120481927711
XLB,Materials,accuracy,momentum,0.5,15,0.0,0.0015060240963855,-0.0015060240963855
XLB,Materials,accuracy,momentum,0.5,16,0.0030120481927711,-0.0045180722891565,0.0075301204819276
XLB,Materials,accuracy,momentum,0.5,17,0.0,-0.0052710843373493,0.0052710843373493
XLB,Materials,accuracy,momentum,0.5,18,-0.0030120481927711,-0.0045180722891565,0.0015060240963853996
XLB,Materials,accuracy,momentum,0.5,19,-0.0022590361445783,0.0015060240963855,-0.0037650602409638
XLB,Materials,accuracy,momentum,0.5,20,0.0060240963855421,-0.0037650602409637,0.009789156626505799
XLB,Materials,accuracy,momentum,0.5,21,0.0015060240963855,-0.0007530120481927,0.0022590361445782
XLB,Materials,accuracy,momentum,0.5,22,0.0037650602409639,-0.0037650602409637,0.0075301204819276
XLB,Materials,accuracy,momentum,0.5,23,-0.0030120481927711,-0.0007530120481927,-0.0022590361445784003
XLB,Materials,accuracy,momentum,0.5,24,-0.0007530120481927,-0.0060240963855421,0.0052710843373494
XLB,Materials,accuracy,momentum,0.5,25,0.0022590361445783,-0.0075301204819276,0.0097891566265059
XLB,Materials,accuracy,momentum,0.5,26,0.0030120481927711,-0.0030120481927711,0.0060240963855422
XLB,Materials,accuracy,momentum,0.5,27,-0.0037650602409639,0.0,-0.0037650602409639
XLB,Materials,accuracy,momentum,0.5,28,0.0022590361445783,-0.0067771084337349,0.0090361445783132
XLB,Materials,accuracy,momentum,0.5,29,0.0,-0.0067771084337349,0.0067771084337349
XLB,Materials,accuracy,momentum,1.0,0,0.0037650602409639,-0.0090361445783132,0.012801204819277101
XLB,Materials,accuracy,momentum,1.0,1,0.0112951807228915,0.0037650602409639,0.0075301204819276
XLB,Materials,accuracy,momentum,1.0,2,0.0052710843373493,-0.0007530120481927,0.006024096385542
