model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
Logistic Regression,returns,0.1,balanced_accuracy,30,0.7085862634080593,0.7098395542644564,0.0015455715977799177,0.7092864785712721,0.7103926299576407,-0.0012532908563970527,0.0015455715977799177,-0.0018063665495813828,-0.0007002151632127225
Logistic Regression,returns,0.1,precision,30,0.4230769230769231,0.42414205970619956,0.0020626556191319922,0.4234039478723702,0.42488017154002894,-0.001065136629276503,0.0020626556191319922,-0.001803248463105909,-0.00032702479544709695
Logistic Regression,returns,0.1,recall,30,0.5207100591715976,0.5232741617357002,0.002982289544341618,0.5222069631281544,0.524341360343246,-0.002564102564102577,0.002982289544341618,-0.0036313011716484125,-0.0014969039565567415
Logistic Regression,returns,0.1,f1_score,30,0.46684350132625996,0.46852006951711533,0.0022835041365382013,0.46770292805629965,0.469337210977931,-0.0016765681908553617,0.0022835041365382018,-0.0024937096516710706,-0.0008594267300396528
Logistic Regression,returns,0.1,roc_auc,30,0.8054535893521757,0.8054302746875922,0.0003092549845244226,0.8053196092126429,0.8055409401625415,2.331466458370309e-05,0.0003092549845244226,-8.735081036565595e-05,0.00013398013953306212
Logistic Regression,returns,0.1,average_precision,30,0.3874020618937343,0.3873001724408923,0.0004604857787381042,0.38713538972125455,0.3874649551605301,0.00010188945284199483,0.0004604857787381042,-6.289326679579757e-05,0.0002666721724797872
Random Forest,returns,0.1,accuracy,30,0.858433734939759,0.8565763052208832,0.0011821012842845042,0.8561532957089597,0.8569993147328068,0.0018574297188755251,0.0011821012842845042,0.0014344202069520044,0.002280439230799046
Random Forest,returns,0.1,balanced_accuracy,30,0.6510152089895901,0.6491086820747669,0.0020062778682739843,0.6483907447599833,0.6498266193895506,0.001906526914823196,0.0020062778682739843,0.00118858960003953,0.0026244642296068617
Random Forest,returns,0.1,precision,30,0.43448275862068964,0.42691452389559825,0.004821861565444195,0.4251890428945384,0.4286400048966581,0.007568234725091385,0.004821861565444195,0.005842753724031559,0.009293715726151211
Random Forest,returns,0.1,recall,30,0.3727810650887574,0.3708086785009862,0.003910618652374367,0.36940928158851166,0.37220807541346074,0.001972386587771215,0.003910618652374367,0.0005729896752966973,0.0033717835002457326
Random Forest,returns,0.1,f1_score,30,0.4012738853503185,0.396876322058235,0.0037051334165158012,0.3955504570930509,0.39820218702341903,0.00439756329208355,0.003705133416515801,0.0030716983268995164,0.005723428257267584
Random Forest,returns,0.1,roc_auc,30,0.7915362662160299,0.7916458621575764,0.002113131510300458,0.7908896877580676,0.7924020365570852,-0.00010959594154657341,0.0021131315103004576,-0.0008657703410553671,0.0006465784579622202
Random Forest,returns,0.1,average_precision,30,0.3998756330234307,0.40070399077594754,0.0027447386877449075,0.39972179865070734,0.40168618290118774,-0.0008283577525168784,0.0027447386877449075,-0.0018105498777570878,0.00015383437272333087
Logistic Regression,returns,0.2,accuracy,30,0.848644578313253,0.8488202811244977,0.0011977117769382348,0.8483916854695202,0.8492488767794752,-0.0001757028112449821,0.0011977117769382348,-0.0006042984662225112,0.00025289284373254694
Logistic Regression,returns,0.2,balanced_accuracy,30,0.7085862634080593,0.7102032289959549,0.0017126096450732914,0.709590379505214,0.7108160784866958,-0.001616965587895521,0.0017126096450732914,-0.002229815078636459,-0.0010041160971545832
Logistic Regression,returns,0.2,precision,30,0.4230769230769231,0.42400966931184225,0.0033505767541688342,0.42281068081882056,0.42520865780486394,-0.0009327462349191332,0.0033505767541688342,-0.0021317347279407985,0.00026624225810253216
Logistic Regression,returns,0.2,recall,30,0.5207100591715976,0.5242603550295857,0.00333279199985236,0.5230677307291617,0.5254529793300097,-0.0035502958579881837,0.00333279199985236,-0.004742920158412219,-0.002357671557564148
Logistic Regression,returns,0.2,f1_score,30,0.46684350132625996,0.4688280606013382,0.0027921810699915784,0.46782889143764494,0.46982722976503144,-0.0019845592750781997,0.002792181069991578,-0.0029837284387714213,-0.0009853901113849781
Logistic Regression,returns,0.2,roc_auc,30,0.8054535893521757,0.8052978746215621,0.0006294057642983062,0.8050726446614078,0.8055231045817164,0.00015571473061355424,0.0006294057642983062,-6.951522954068762e-05,0.0003809446907677961
Logistic Regression,returns,0.2,average_precision,30,0.3874020618937343,0.38712824839442544,0.0006972793610234941,0.3868787301796141,0.3873777666092368,0.0002738134993088522,0.0006972793610234941,2.429528449748614e-05,0.0005233317141202183
Random Forest,returns,0.2,accuracy,30,0.858433734939759,0.8567269076305221,0.001249642265480508,0.8562797288888799,0.8571740863721642,0.001706827309236969,0.001249642265480508,0.0012596485675948205,0.0021540060508791177
Random Forest,returns,0.2,balanced_accuracy,30,0.6510152089895901,0.6497846371676596,0.0023690990786479106,0.648936865950184,0.6506324083851351,0.0012305718219304041,0.0023690990786479106,0.00038280060445482884,0.002078343039405979
Random Forest,returns,0.2,precision,30,0.43448275862068964,0.42773264480690804,0.005036985068779079,0.42593018284883655,0.4295351067649795,0.006750113813781505,0.005036985068779079,0.004947651855709991,0.008552575771853019
Random Forest,returns,0.2,recall,30,0.3727810650887574,0.372189349112426,0.004999187999778514,0.37040041266178997,0.37397828556306206,0.0005917159763313732,0.004999187999778514,-0.0011972204743046714,0.0023806524269674176
Random Forest,returns,0.2,f1_score,30,0.4012738853503185,0.39801220174238733,0.004141538337872401,0.39653017128170953,0.3994942322030651,0.0032616836079311967,0.0041415383378724,0.0017796531472534219,0.004743714068608971
Random Forest,returns,0.2,roc_auc,30,0.7915362662160299,0.7911666351833604,0.002623314433740074,0.7902278941693787,0.7921053761973421,0.00036963103266944114,0.0026233144337400737,-0.0005691099813122675,0.0013083720466511499
Random Forest,returns,0.2,average_precision,30,0.3998756330234307,0.40276973068412153,0.004527244460967627,0.40114967705990817,0.4043897843083349,-0.0028940976606908514,0.0045272444609676275,-0.0045141512849042114,-0.0012740440364774912
Logistic Regression,returns,0.5,accuracy,30,0.848644578313253,0.8488202811244978,0.0016388666056274348,0.8482338202415171,0.8494067420074786,-0.0001757028112449821,0.0016388666056274348,-0.0007621636942257739,0.0004107580717358097
Logistic Regression,returns,0.5,balanced_accuracy,30,0.7085862634080593,0.7125619242596744,0.003876683671601842,0.7111746708241121,0.7139491776952366,-0.0039756608516150075,0.003876683671601842,-0.005362914287177216,-0.002588407416052799
Logistic Regression,returns,0.5,precision,30,0.4230769230769231,0.42467410526958244,0.004923978116735241,0.4229120823299466,0.4264361282092183,-0.0015971821926593522,0.004923978116735241,-0.0033592051322951814,0.00016484074697647685
Logistic Regression,returns,0.5,recall,30,0.5207100591715976,0.5297830374753452,0.007728062389850208,0.5270175858654828,0.5325484890852076,-0.009072978303747552,0.0077280623898502085,-0.011838429913610005,-0.0063075266938851
Logistic Regression,returns,0.5,f1_score,30,0.46684350132625996,0.4714268060189485,0.005536588525859608,0.46944556325981995,0.473408048778077,-0.004583304692688491,0.005536588525859608,-0.006564547451817044,-0.002602061933559937
