ticker,sector,feature_group,noise_intensity,seed_count,mean_total_clipped_values,std_total_clipped_values,clipped_values_ci95_lower,clipped_values_ci95_upper,mean_clipped_proportion,std_clipped_proportion,clipped_proportion_ci95_lower,clipped_proportion_ci95_upper
XLE,Energy,all_predictors,1.0,30,692.1666666666666,20.75486371470774,684.7396340707993,699.593699262534,0.04738271266885725,0.0014207874941612637,0.04687429039367465,0.04789113494403985
XLE,Energy,momentum,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,momentum,0.1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,momentum,0.2,30,0.5,0.7310832774866962,0.23838520903707544,0.7616147909629245,0.0001255020080321285,0.00018350483872658037,5.983564483862335e-05,0.00019116837122563364
XLE,Energy,momentum,0.5,30,6.433333333333334,2.3294713523907515,5.599742715579233,7.266923951087434,0.00161479250334672,0.0005847066647567147,0.001405557910536956,0.0018240270961564842
XLE,Energy,momentum,1.0,30,40.6,5.4240842227211425,38.6590163887064,42.540983611293605,0.010190763052208836,0.0013614669233737806,0.009703568370659239,0.010677957733758434
XLE,Energy,returns,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,returns,0.1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,returns,0.2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,returns,0.5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,returns,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,volatility,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,volatility,0.1,30,0.1,0.30512857662936466,-0.009188858848106482,0.2091888588481065,2.51004016064257e-05,7.658849814994093e-05,-2.306440473922315e-06,5.250724368677371e-05
