ticker,sector,metric,feature_group,noise_intensity,noise_regime,seed_count,mean_paired_difference,std_paired_difference,paired_difference_ci95_lower,paired_difference_ci95_upper,proportion_seeds_favouring_logistic_regression,proportion_seeds_favouring_random_forest,proportion_ties,robustness_classification
XLK,Technology,recall,volatility,1.0,stress,30,-0.01945945945945946,0.017806462281709717,-0.025831420152683575,-0.013087498766235342,0.8333333333333334,0.16666666666666666,0.0,Logistic Regression more robust
XLK,Technology,recall,volume_and_range,0.05,moderate,30,-0.003153153153153107,0.005455653372025282,-0.005105433639440856,-0.0012008726668653583,0.7,0.2,0.1,Logistic Regression more robust
XLK,Technology,recall,volume_and_range,0.1,moderate,30,-0.004864864864864834,0.005377373727746035,-0.00678913334020197,-0.0029405963895276985,0.7333333333333333,0.16666666666666666,0.1,Logistic Regression more robust
XLK,Technology,recall,volume_and_range,0.2,moderate,30,-0.00558558558558554,0.009441024063017223,-0.00896401265782443,-0.0022071585133466498,0.6333333333333333,0.23333333333333334,0.13333333333333333,Logistic Regression more robust
XLK,Technology,recall,volume_and_range,0.5,stress,30,-9.009009009010032e-05,0.011143151986408617,-0.0040776158171375735,0.0038974356369573726,0.36666666666666664,0.5,0.13333333333333333,No clear difference
XLK,Technology,recall,volume_and_range,1.0,stress,30,0.009639639639639616,0.012690369641658959,0.005098449185306912,0.01418083009397232,0.26666666666666666,0.7,0.03333333333333333,Random Forest more robust
XLK,Technology,roc_auc,all_predictors,0.05,moderate,30,0.00013673381105525824,0.0014239630628507295,-0.0003728248267887027,0.0006462924488992191,0.43333333333333335,0.5666666666666667,0.0,No clear difference
XLK,Technology,roc_auc,all_predictors,0.1,moderate,30,0.0010426188192367034,0.0022651012568543397,0.0002320627443405857,0.0018531748941328211,0.3333333333333333,0.6666666666666666,0.0,Random Forest more robust
XLK,Technology,roc_auc,all_predictors,0.2,moderate,30,0.0024160695141905303,0.003969753669652876,0.00099551140755344,0.0038366276208276207,0.3333333333333333,0.6666666666666666,0.0,Random Forest more robust
XLK,Technology,roc_auc,all_predictors,0.5,stress,30,0.0075110496718012254,0.006265462019396849,0.005268982882740416,0.009753116460862035,0.06666666666666667,0.9333333333333333,0.0,Random Forest more robust
XLK,Technology,roc_auc,all_predictors,1.0,stress,30,0.009859786717824282,0.00939995719678947,0.006496055234931396,0.013223518200717167,0.16666666666666666,0.8333333333333334,0.0,Random Forest more robust
XLK,Technology,roc_auc,momentum,0.05,moderate,30,-0.00039355639564401856,0.0005270630082720378,-0.0005821634708973415,-0.00020494932039069556,0.7,0.3,0.0,Logistic Regression more robust
XLK,Technology,roc_auc,momentum,0.1,moderate,30,-0.00048270608813405573,0.0008486749695841599,-0.0007864005256904758,-0.00017901165057763568,0.7333333333333333,0.26666666666666666,0.0,Logistic Regression more robust
XLK,Technology,roc_auc,momentum,0.2,moderate,30,-0.00023707423498652754,0.0015115979535818003,-0.0007779926157293882,0.00030384414575633316,0.6333333333333333,0.36666666666666664,0.0,No clear difference
XLK,Technology,roc_auc,momentum,0.5,stress,30,0.0022107807180875593,0.003841525401844111,0.0008361085077790693,0.0035854529283960495,0.26666666666666666,0.7333333333333333,0.0,Random Forest more robust
XLK,Technology,roc_auc,momentum,1.0,stress,30,0.013594387707122561,0.006118403445344467,0.01140494515294,0.015783830261305122,0.0,1.0,0.0,Random Forest more robust
