sector,model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
XLK,Logistic Regression,all_predictors,0.2,average_precision,30,0.6323563262073739,0.6255644671206545,0.0033395459774175,0.6243694259403985,0.6267595083009105,0.0067918590867193,0.0033395459774175,0.0055968179064633,0.0079869002669754
XLK,Random Forest,all_predictors,0.2,balanced_accuracy,30,0.7346470687806805,0.7302224040324248,0.0067988276630883,0.7277894747989913,0.7326553332658583,0.0044246647482556,0.0067988276630883,0.001991735514822,0.0068575939816891
XLK,Random Forest,all_predictors,0.2,f1_score,30,0.6134347275031685,0.6076581849640438,0.0091654835229626,0.6043783588077443,0.6109380111203433,0.0057765425391246,0.0091654835229626,0.0024967163828251,0.009056368695424
XLK,Random Forest,all_predictors,0.2,roc_auc,30,0.8044715905885008,0.8007481803306437,0.004814978059575,0.7990251625605241,0.8024711981007632,0.003723410257857,0.004814978059575,0.0020003924877375,0.0054464280279765
XLK,Random Forest,all_predictors,0.2,average_precision,30,0.6370969413832709,0.6303530745923329,0.006270954832227,0.6281090422254445,0.6325971069592213,0.006743866790938,0.006270954832227,0.0044998344240495,0.0089878991578264
XLK,Logistic Regression,all_predictors,0.5,balanced_accuracy,30,0.7524657225074762,0.7083455585021348,0.0113924164848343,0.7042688346198862,0.7124222823843833,0.0441201640053415,0.0113924164848343,0.040043440123093,0.04819688788759
XLK,Logistic Regression,all_predictors,0.5,f1_score,30,0.6325802615933412,0.5754536120427647,0.0136338060264327,0.570574817213951,0.5803324068715784,0.0571266495505764,0.0136338060264327,0.0522478547217627,0.0620054443793901
XLK,Logistic Regression,all_predictors,0.5,roc_auc,30,0.8096259098346781,0.7728072749158345,0.0081661477875102,0.7698850564597561,0.7757294933719128,0.0368186349188436,0.0081661477875102,0.0338964164627653,0.0397408533749219
XLK,Logistic Regression,all_predictors,0.5,average_precision,30,0.6323563262073739,0.5897033116383756,0.0079349890092945,0.5868638122887307,0.5925428109880205,0.0426530145689982,0.0079349890092945,0.0398135152193534,0.0454925139186431
XLK,Random Forest,all_predictors,0.5,balanced_accuracy,30,0.7346470687806805,0.7129078974590456,0.0100508786900047,0.7093112367112867,0.7165045582068045,0.0217391713216348,0.0100508786900047,0.0181425105738759,0.0253358320693937
XLK,Random Forest,all_predictors,0.5,f1_score,30,0.6134347275031685,0.5834427993714838,0.0131615273382212,0.5787330073007655,0.5881525914422021,0.0299919281316847,0.0131615273382212,0.0252821360609664,0.0347017202024029
XLK,Random Forest,all_predictors,0.5,roc_auc,30,0.8044715905885008,0.7751640053414587,0.0087660090419435,0.7720271292923018,0.7783008813906156,0.0293075852470424,0.0087660090419435,0.0261707091978855,0.0324444612961993
XLK,Random Forest,all_predictors,0.5,average_precision,30,0.6370969413832709,0.5921536365487552,0.013177754497263,0.58743803766375,0.5968692354337604,0.0449433048345156,0.013177754497263,0.0402277059495104,0.0496589037195208
XLK,Logistic Regression,all_predictors,1.0,balanced_accuracy,30,0.7524657225074762,0.6542482461584758,0.0114577573065712,0.6501481403634597,0.6583483519534918,0.0982174763490004,0.0114577573065712,0.0941173705539843,0.1023175821440165
XLK,Logistic Regression,all_predictors,1.0,f1_score,30,0.6325802615933412,0.5144008495927401,0.0126237297925389,0.509883505902154,0.5189181932833262,0.1181794120006011,0.0126237297925389,0.113662068310015,0.1226967556911872
XLK,Logistic Regression,all_predictors,1.0,roc_auc,30,0.8096259098346781,0.7100482423968851,0.0128713518345976,0.7054422882965606,0.7146541964972096,0.0995776674377926,0.0128713518345977,0.0949717133374681,0.1041836215381172
XLK,Logistic Regression,all_predictors,1.0,average_precision,30,0.6323563262073739,0.5099363728335402,0.0135911844802321,0.5050728299291558,0.5147999157379246,0.1224199533738337,0.0135911844802321,0.1175564104694494,0.127283496278218
XLK,Random Forest,all_predictors,1.0,balanced_accuracy,30,0.7346470687806805,0.6616987342248302,0.0118238618569631,0.6574676195989861,0.6659298488506742,0.0729483345558502,0.0118238618569631,0.0687172199300063,0.0771794491816942
XLK,Random Forest,all_predictors,1.0,f1_score,30,0.6134347275031685,0.5191925609893688,0.0144344946520711,0.5140272434156459,0.5243578785630918,0.0942421665137997,0.0144344946520711,0.0890768489400767,0.0994074840875227
